idActivo,idBoveda,tipo,valorEquivalente,moneda,cantidad,unidad
ACT-P-001,BCP-CEN-LIM,MONETARIO,5000000.00,PEN,1,lote
ACT-U-001,BCP-CEN-LIM,MONETARIO,1000000.00,USD,1,lote
ACT-P-002,BCP-SUC-SURCO,MONETARIO,500000.00,PEN,1,lote
ACT-J-001,BCP-CEN-LIM,JOYAS,250000.00,USD,500,gramos
ACT-P-003,BBVA-CEN-LIM,MONETARIO,4000000.00,PEN,1,lote
ACT-U-002,BBVA-CEN-LIM,MONETARIO,800000.00,USD,1,lote
ACT-B-001,BBVA-CEN-LIM,BONOS,100000.00,PEN,10,unidades
ACT-P-004,ITB-CEN-LIM,MONETARIO,3500000.00,PEN,1,lote
ACT-P-005,SCO-CEN-LIM,MONETARIO,3000000.00,PEN,1,lote
ACT-P-BCRP-01,BCRP-CEN-LIM,MONETARIO,100000000.00,PEN,1,lote
ACT-U-BCRP-01,BCRP-CEN-LIM,MONETARIO,50000000.00,USD,1,lote
ACT-D-BCRP-01,BCRP-CEN-LIM,DOCUMENTOS_VALORADOS,2500000.00,PEN,50,unidades
